Province	No of Cases	%
Western	49573	52.94%
Southern	13719	14.65%
Central	8476	9.05%
Sabaragamuwa	7665	8.19%
North Western	4671	4.99%
Eastern	3873	4.14%
Uva	2631	2.81%
North Central	1669	1.78%
Northern	1358	1.45%
