District/ Unit	No of Cases	%
Gampaha	19945	21.30%
Colombo	18588	19.85%
Kandy	6786	7.25%
Matara	6082	6.50%
Kalutara	6059	6.47%
Galle	5133	5.48%
Ratnapura	4981	5.32%
CMC	3763	4.02%
Kegalle	2684	2.87%
Kurunegala	2643	2.82%
Hambantota	2504	2.67%
Puttalam	2028	2.17%
Batticaloa	1497	1.60%
Badulla	1463	1.56%
