district_id	district_name	n_cases
LK-11	Colombo	19435
LK-11-CMC	CMC	3942
LK-12	Gampaha	20917
LK-13	Kalutara	6294
LK-13-NIHS	NIHS	1305
LK-21	Kandy	7410
LK-22	Matale	1029
LK-23	Nuwaraeliya	790
LK-31	Galle	5374
LK-32	Matara	6231
LK-33	Hambantota	2604
LK-41	Jaffna	1015
LK-42	Mannar	95
LK-43	Vavuniya	166
LK-44	Mullaitivu	79
LK-45	Kilinochchi	95
LK-51	Batticaloa	1575
LK-52	Ampara	702
LK-52-Kalmunai	Kalmunai	1195
LK-53	Trincomalee	693
LK-61	Kurunegala	2778
LK-62	Puttalam	2157
LK-71	Anuradhapura	1020
LK-72	Polonnaruwa	776
LK-81	Badulla	1568
LK-82	Monaragala	1227
LK-91	Ratnapura	5187
LK-92	Kegalle	2957
