district_id	district_name	n_cases
LK-11	Colombo	18981
LK-11-CMC	CMC	3850
LK-12	Gampaha	20415
LK-13	Kalutara	6174
LK-13-NIHS	NIHS	1260
LK-21	Kandy	7026
LK-22	Matale	991
LK-23	Nuwaraeliya	752
LK-31	Galle	5224
LK-32	Matara	6152
LK-33	Hambantota	2542
LK-41	Jaffna	969
LK-42	Mannar	95
LK-43	Vavuniya	165
LK-44	Mullaitivu	75
LK-45	Kilinochchi	91
LK-51	Batticaloa	1531
LK-52	Ampara	676
LK-52-Kalmunai	Kalmunai	1117
LK-53	Trincomalee	681
LK-61	Kurunegala	2710
LK-62	Puttalam	2096
LK-71	Anuradhapura	959
LK-72	Polonnaruwa	750
LK-81	Badulla	1502
LK-82	Monaragala	1196
LK-91	Ratnapura	5084
LK-92	Kegalle	2804
