MOH Area	Cases reported	
	Week 34	Week 35
Wadduwa	9	16
NIHS		
Aluthgama	3	11
Pyagala	11	13
SOUTHERN PROVINCE		
Galle District		
MC-Galle	12	15
CENTRAL PROVINCE		
Kandy District		
Gampola	4	11
Kandy MC	31	32
Kundasale	13	10
Pasbage	18	11
Werellagama	16	10
Yatinuwara	19	14
