District/ RDHS	No. of cases					
	2025		2026		Up to Week 35	
					2025	2026
	Week  34	Week 35	Week  34	Week 35		
Colombo	114	121	441*	295	9210	22725
Gampaha	63	68	369	271	5449	20307
Kalutara	44	32	137*	94	1604	7393
Kandy	74	72	187*	152	3191	6962
Matale	17	19	15	11	791	988
Nuwara Eliya	6	3	18	10	202	741
Galle	37	37	92	54	1691	5214
Hambantota	11	13	45*	15	691	2532
Matara	18	19	56*	43	1225	6129
Jaffna	7	10	16	17	814	960
Kilinochchi	Nil	3	1	Nil	58	92
Mannar	1	2	2	1	119	95
Vavuniya	3	Nil	1	3	37	165
Mullaitivu	1	Nil	2	Nil	19	73
Batticaloa	6	11	24	17	1604	1523
Ampara	1	Nil	11	23	119	667
Trincomalee	1	2	8	3	841	679
Kalmunai*	2	2	29	31	347	1103
Kurunegala	22	13	49	38	1140	2690
Puttalam	7	9	34	38	523	2071
Anuradhapura	15	5	42	15	396	952
Polonnaruwa	6	5	15	4	274	748
Badulla	15	15	42*	25	568	1492
Monaragala	13	7	25	17	659	1193
Ratnapura	75	70	58	54	4091	5060
Kegalle	24	14	83	65	1068	2777
Total*	583	553	1802		1296  36731  95331	
