MOH Area	Cases reported		
	Week 34	Week 35	
Gampaha District			
Aththanagalla	21	36	
Biyagama	34	33	
Gampaha	23	15	
Ja-Ela	20	22	
Katana	17	10	
Kelaniya	20	25	
Mahara	44	29	
Minuwangoda	26	12	
Pugoda(Dompe)	68	33	
Ragama	11	10	
Wattala	29	21	
Kalutara District			
Horana	13	13	
Panadura	43	15	
