MOH Area	Cases reported	
	Week 34	Week 35
WESTERN PROVINCE		
Colombo District		
Battaramulla	46	22
Boralesgamuwa	10	14
Gothatuwa	21	13
Hanwella	22	14
Homagama	26	23
Kaduwela	39	32
Maharagama	55	38
Nugegoda	14	18
Padukka	7	12
Piliyandala	40	21
Pitakotte	16	10
CMC		
D3-CMC	16	15
