Province	No of Cases	%
Western	50935	52.79%
Southern	13984	14.49%
Central	8874	9.20%
Sabaragamuwa	7947	8.24%
North Western	4834	5.01%
Eastern	4044	4.19%
Uva	2722	2.82%
North Central	1738	1.80%
Northern	1404	1.46%
