District/ Unit	No of Cases	%
NIHS	1268	1.31%
Monaragala	1204	1.25%
Kalmunai	1135	1.18%
Matale	997	1.03%
Anuradhapura	982	1.02%
Jaffna	978	1.01%
Nuwaraeliya	758	0.79%
Polonnaruwa	756	0.78%
Trincomalee	684	0.71%
Ampara	681	0.71%
Vavuniya	165	0.17%
Mannar	95	0.10%
Kilinochchi	91	0.09%
Mullaitivu	75	0.08%
