District/ Unit	No of Cases	%
Gampaha	20527	21.28%
Colombo	19074	19.77%
Kandy	7119	7.38%
Kalutara	6195	6.42%
Matara	6171	6.40%
Galle	5260	5.45%
Ratnapura	5116	5.30%
CMC	3871	4.01%
Kegalle	2831	2.93%
Kurunegala	2725	2.82%
Hambantota	2553	2.65%
Puttalam	2109	2.19%
Batticaloa	1544	1.60%
Badulla	1518	1.57%
