District/ Unit	No of Cases	%
Monaragala	1036	1.25%
NIHS	1026	1.24%
Kalmunai	923	1.11%
Jaffna	842	1.02%
Matale	835	1.01%
Anuradhapura	778	0.94%
Polonnaruwa	671	0.81%
Trincomalee	622	0.75%
Nuwaraeliya	606	0.73%
Ampara	582	0.70%
Vavuniya	141	0.17%
Mannar	89	0.11%
Kilinochchi	78	0.09%
Mullaitivu	49	0.06%
