Province	No of Cases	%
Western	43884	52.98%
Southern	12510	15.10%
Central	7126	8.60%
Sabaragamuwa	6845	8.26%
North Western	4060	4.90%
Eastern	3504	4.23%
Uva	2261	2.73%
North Central	1449	1.75%
Northern	1199	1.45%
