District/ Unit	No of Cases	%
Gampaha	17600	21.25%
Colombo	16457	19.87%
Kandy	5685	6.86%
Matara	5672	6.85%
Kalutara	5417	6.54%
Galle	4584	5.53%
Ratnapura	4559	5.50%
CMC	3384	4.09%
Kurunegala	2317	2.80%
Kegalle	2286	2.76%
Hambantota	2254	2.72%
Puttalam	1743	2.10%
Batticaloa	1377	1.66%
Badulla	1225	1.48%
