district_id	district_name	n_cases
LK-11	Colombo	16021
LK-11-CMC	CMC	3232
LK-12	Gampaha	16950
LK-13	Kalutara	5245
LK-13-NIHS	NIHS	966
LK-21	Kandy	5437
LK-22	Matale	822
LK-23	Nuwaraeliya	578
LK-31	Galle	4430
LK-32	Matara	5534
LK-33	Hambantota	2190
LK-41	Jaffna	826
LK-42	Mannar	86
LK-43	Vavuniya	136
LK-44	Mullaitivu	49
LK-45	Kilinochchi	76
LK-51	Batticaloa	1355
LK-52	Ampara	564
LK-52-Kalmunai	Kalmunai	900
LK-53	Trincomalee	619
LK-61	Kurunegala	2210
LK-62	Puttalam	1665
LK-71	Anuradhapura	763
LK-72	Polonnaruwa	645
LK-81	Badulla	1161
LK-82	Monaragala	993
LK-91	Ratnapura	4482
LK-92	Kegalle	2179
