Province	No of Cases	%
Western	51023	52.78%
Southern	14000	14.48%
Central	8893	9.20%
Sabaragamuwa	7970	8.24%
North Western	4852	5.02%
Eastern	4060	4.20%
Uva	2730	2.82%
North Central	1745	1.80%
Northern	1404	1.45%
