District/ Unit	No of Cases	%
Gampaha	20564	21.27%
Colombo	19104	19.76%
Kandy	7137	7.38%
Kalutara	6207	6.42%
Matara	6177	6.39%
Galle	5266	5.45%
Ratnapura	5124	5.30%
CMC	3872	4.01%
Kegalle	2846	2.94%
Kurunegala	2733	2.83%
Hambantota	2557	2.64%
Puttalam	2119	2.19%
Batticaloa	1544	1.60%
Badulla	1524	1.58%
