District/Unit	No of Cases	%
NIHS	1276	1.32%
Monaragala	1206	1.25%
Kalmunai	1145	1.18%
Matale	998	1.03%
Anuradhapura	985	1.02%
Jaffna	978	1.01%
Nuwaraeliya	758	0.78%
Polonnaruwa	760	0.79%
Trincomalee	686	0.71%
Ampara	685	0.71%
Vavuniya	165	0.17%
Mannar	95	0.10%
Kilinochchi	91	0.09%
Mullaitivu	75	0.08%
