Deaths reported in 2026 [Districts/Admin area]					
District/area	No	District/area	No	District/area	No
Colombo	14	Gampaha	7	NIHS Kalutara	1
Hambantota	2	Galle	2	Kandy	3
Ratnapura	2	Kalutara	2	Trincomalee	1
Matara	2	Puttalam	1	Batticaloa	1
Polonnaruwa	1				
