MOH Area	Cases reported	
	Week 26	Week 27
WESTERN PROVINCE		
Colombo District		
Battaramulla	56	84
Boralesgamuwa	59	88
Dehiwala	51	48
Egodauyana	28	51
		
Gothatuwa	120	120
Hanwella	46	43
Homagama	90	106
Kaduwela	156	140
Kahathuduwa	37	65
Kesbewa	36	37
Kolonnawa	6	33
Maharagama	173	251
Moratuwa	30	64
Nugegoda	41	77
Padukka	20	43
Piliyandala	48	107
Pitakotte	21	38
Rathmalana	17	47
CMC		
D1-CMC	21	55
D2A-CMC	21	26
D2B-CMC	15	27
D3-CMC	28	46
D4-CMC	43	49
D5-CMC	10	19
Gampaha District		
Aththanagalla	53	62
Biyagama	259	303
Divulapitiya	51	39
Gampaha	57	102
Ja-Ela	160	176
Katana	95	76
Kelaniya	220	229
Mahara	160	165
Meerigama	29	39
Minuwangoda	90	103
Negombo	145	111
Pugoda(Dompe)	69	75
Ragama	48	80
Seeduwa	163	119
Wattala	139	189
Kalutara District		
Bandaragama	52	91
Bulathsinhala	10	12
Dodangoda PS	10	19
Horana	70	90
Ingiriya	22	25
Madurawala	18	19
Mathugama	7	25
