Deaths reported in 2026 [Age & Sex]					
Age Group (Yrs)	Male	Female	Age Group (Yrs)	Male	Female
0-14	2	3	45 - 54	2	3
15-24	1	1	55 - 64	1	1
25-34	2	5	> 64	4	9
35-44	0	5	Total	12	27
