MOH Area	Cases reported		
	Week 26	Week 27	
Millaniya	19	17	
Panadura	92	184	
Wadduwa	42	61	
Walallawita	15	11	
NIHS			
Kalutara	43	57	
Payagala	43	57	
SOUTHERN PROVINCE			
Matara District			
Akuressa	23	34	
Athuraliya	19	28	
Devinuwara	14	34	
Dickwella	28	42	
Kamburupitiya	10	27	
Malimbada	15	24	
Matara MC	118	173	
Matara PS	24	53	
Morawaka	24	28	
Mulatiyana	8	26	
Pasgoda	3	20	
Thihagoda	8	20	
Weligama	35	70	
Welipitiya	15	26	
Galle District			
Akmeemana	6	21	
Ambalangoda	11	17	
Baddegama	10	21	
Balapitiya	19	30	
Bope Poddala	12	39	
Elpitiya	18	32	
Habaraduwa	9	23	
Hikkaduwa	14	15	
Imaduwa	18	21	
Induruwa	8	13	
Karandeniya	19	19	
MC-Galle	38	72	
Rathgama	6	16	
Thawalama	13	11	
Udugama	18	15	
Yakkalamulla	8	20	
Hambantota District			
Ambalantota	14	25	
Angunukolapelassa	13	21	
Beliatta	15	15	
Katuwana	10	22	
Tangalle	49	69	
Walasmulla	9	21	
Weeraketiya	6	10	
CENTRAL PROVINCE			
Kandy District			
Akurana	10	17	
Bambaradeniya	10	17	
