MOH Area	Cases reported	
	Week 26	Week 27
Uhana	12	18
Batticaloa District		
Batticaloa	18	19
Chenkaladay	6	13
Kalmunai RDHS		
Akkaraipathu	7	25
Trincomalee District		
Kanthale	1	24
NORTH CENTRAL PROVINCE		
Anuradhapura District		
Nuwaragam-Palatha	4	10
Thalawa	9	15
Polonnaruwa District		
Aralaganwila	7	12
Hingurakoda	15	12
Medirigiriya	1	20
NORTH WESTERN PROVINCE		
Kurunegala District		
Alawwa	11	10
Galgamuwa	3	21
Ibbagamuwa	7	10
Kuliyapitiya	18	15
Kurunegala	6	17
Mallawapitiya	12	11
Panduwasnuwara	5	11
Pannala	34	17
Polgahawela	3	25
Polpithigama	2	13
Udubaddawa	11	11
Puttalam District		
Anamaduwa	9	11
Chilaw	20	16
Dankotuwa	19	14
Madampe	11	18
Mahawewa	2	10
Nattandiya	16	24
Wennappuwa	59	44
UVA PROVINCE		
Badulla District		
Badulla	30	29
Hali Ela	10	10
Mahiyanganaya	7	13
Rideemaliyadda	5	11
Uva Paranagama	2	12
Welimada	1	13
Monaragala District		
Bibile	10	15
Medagama	10	12
Monaragala	9	14
Siyambalanduwa	14	10
