District/ RDHS	No. of cases					
	2025		2026		Up to Week 27	
					2025	2026
	Week  26	Week 27	Week  26	Week 27		
Colombo	329	230	1178*	1676	7713	14995
Gampaha	193	153	1740*	1867	4482	12280
Kalutara	74	51	465*	688	1248	4772
Kandy	172	147	481*	639	2277	3795
Matale	16	14	43*	79	663	656
Nuwara Eliya	6	13	50	88	130	365
Galle	61	53	247	407	1331	3501
Hambantota	26	31	146*	220	521	1754
Matara	45	36	364	627	988	4422
Jaffna	6	15	24*	55	670	707
Kilinochchi	1	1	5	2	49	57
Mannar	Nil	Nil	7	10	102	64
Vavuniya	Nil	Ni	4	10	28	94
Mullaitivu	1	2	1	Nil	16	34
Batticaloa	18	18	45*	70	1531	1216
Ampara	5	5	57*	55	94	415
Trincomalee	6	4	24	47	792	563
Kalmunai*	7	21	43	71	314	783
Kurunegala	41	56	184	258	862	1633
Puttalam	4	13	171	155	420	1148
Anuradhapura	17	6	95	87	307	531
Polonnaruwa	9	9	58	66	213	482
Badulla	14	17	95*	128	441	772
Monaragala	13	28	87*	96	552	776
Ratnapura	107	110	193	329	3461	3584
Kegalle	38	53	191*	186	855	1658
Total*		1209  1059  5998*			7916  30060  61057	
