District/ Unit	No of Cases	%
Monaragala	750	1.28%
Badulla	742	1.26%
Jaffna	694	1.18%
NIHS	650	1.11%
Matale	634	1.08%
Trincomalee	552	0.94%
Anuradhapura	492	0.84%
Polonnaruwa	464	0.79%
Ampara	411	0.70%
Nuwaraeliya	333	0.57%
Vavuniya	91	0.15%
Mannar	61	0.10%
Kilinochchi	55	0.09%
Mullaitivu	35	0.06%
