Province	No of Cases	%
Western	30876	52.50%
Southern	9316	15.84%
Sabaragamuwa	5129	8.72%
Central	4542	7.72%
Eastern	2932	4.99%
North Western	2631	4.47%
Uva	1492	2.54%
North Central	956	1.63%
Northern	936	1.59%
