District/ Unit	No of Cases	%
Colombo	12017	20.43%
Gampaha	11740	19.96%
Matara	4262	7.25%
Kalutara	3955	6.73%
Kandy	3575	6.08%
Ratnapura	3530	6.00%
Galle	3364	5.72%
CMC	2514	4.27%
Hambantota	1690	2.87%
Kegalle	1599	2.72%
Kurunegala	1540	2.62%
Batticaloa	1201	2.04%
Puttalam	1091	1.86%
Kalmunai	768	1.31%
