District/ Unit	No of Cases	%
Monaragala	1020	1.25%
NIHS	989	1.21%
Kalmunai	917	1.13%
Jaffna	833	1.02%
Matale	830	1.02%
Anuradhapura	760	0.93%
Polonnaruwa	652	0.80%
Trincomalee	621	0.76%
Nuwaraeliya	595	0.73%
Ampara	570	0.70%
Vavuniya	136	0.17%
Mannar	86	0.11%
Kilinochchi	78	0.10%
Mullaitivu	49	0.06%
