Province	No of Cases	%
Western	43132	52.92%
Southern	12329	15.13%
Central	7006	8.60%
Sabaragamuwa	6782	8.32%
North Western	3983	4.89%
Eastern	3469	4.26%
Uva	2216	2.72%
North Central	1412	1.73%
Northern	1182	1.45%
