District/ Unit	No of Cases	%
Gampaha	17280	21.20%
Colombo	16213	19.89%
Matara	5608	6.88%
Kandy	5581	6.85%
Kalutara	5335	6.55%
Ratnapura	4551	5.58%
Galle	4499	5.52%
CMC	3315	4.07%
Kurunegala	2265	2.78%
Kegalle	2231	2.74%
Hambantota	2222	2.73%
Puttalam	1718	2.11%
Batticaloa	1361	1.67%
Badulla	1196	1.47%
