district_id	district_name	n_cases
LK-11	Colombo	19194
LK-11-CMC	CMC	3897
LK-12	Gampaha	20671
LK-13	Kalutara	6230
LK-13-NIHS	NIHS	1287
LK-21	Kandy	7226
LK-22	Matale	1002
LK-23	Nuwaraeliya	763
LK-31	Galle	5305
LK-32	Matara	6192
LK-33	Hambantota	2564
LK-41	Jaffna	993
LK-42	Mannar	95
LK-43	Vavuniya	166
LK-44	Mullaitivu	75
LK-45	Kilinochchi	92
LK-51	Batticaloa	1553
LK-52	Ampara	686
LK-52-Kalmunai	Kalmunai	1160
LK-53	Trincomalee	689
LK-61	Kurunegala	2750
LK-62	Puttalam	2131
LK-71	Anuradhapura	989
LK-72	Polonnaruwa	766
LK-81	Badulla	1537
LK-82	Monaragala	1211
LK-91	Ratnapura	5132
LK-92	Kegalle	2879
