district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	117	114	625	442	9088	22436
LK-12	Gampaha	100	63	605	369	5381	20036
LK-13	Kalutara	32	44	165	136	1572	7298
LK-21	Kandy	85	74	273	188	3119	6817
LK-22	Matale	12	17	31	15	772	977
LK-23	Nuwara Eliya	8	6	31	18	199	725
LK-31	Galle	40	37	120	92	1654	5161
LK-32	Matara	29	18	92	57	1206	6092
LK-33	Hambantota	16	11	51	44	678	2510
LK-41	Jaffna	10	7	9	16	804	943
LK-42	Mannar	1	1	1	2	117	94
LK-43	Vavuniya	0	3	9	1	37	162
LK-44	Mullaitivu	1	1	3	2	19	73
LK-45	Kilinochchi	2	0	8	1	55	92
LK-51	Batticaloa	6	6	32	24	1593	1506
LK-52	Ampara	2	1	19	11	119	644
LK-52-Kalmunai	Kalmunai	10	2	59	29	345	1072
LK-53	Trincomalee	3	1	15	8	839	676
LK-61	Kurunegala	22	22	68	49	1127	2652
LK-62	Puttalam	8	7	65	34	514	2033
LK-71	Anuradhapura	4	15	37	42	391	937
LK-72	Polonnaruwa	18	6	19	15	269	744
LK-81	Badulla	13	15	65	41	553	1466
LK-82	Monaragala	18	13	25	25	652	1176
LK-91	Ratnapura	49	75	85	58	4021	5001
LK-92	Kegalle	16	24	101	83	1054	2712
