hospital_name	n_cases_last_week	n_cases_this_week
	0	3334
	0	3334
	0	3334
BH - Balangoda	4	8
BH - Balapitiya	8	6
BH - Dambadeniya	15	7
BH - Dickoya	3	4
BH - Gampola	8	11
BH - Kahawatta	7	4
BH - Kamburupitiya	12	10
BH - Karawanella	13	14
BH - Mahiyanganaya	6	5
BH - Marawila	15	10
BH - Mawanella	10	5
BH - Minuwangoda	6	6
BH - Panadura	19	13
BH - Tangalle	14	6
BH - Wathupitiwala	19	14
BH – Kalmunai North	10	8
DGH - Ampara	4	5
DGH - Avissawella	23	14
DGH - Embilipitiya	7	4
DGH - Gampaha	31	30
DGH - Horana	7	7
DGH - Kegalle	11	7
DGH - Matale	10	5
DGH - Matara	27	18
DGH - Nawalapitiya	17	12
DGH - Negambo	42	29
DGH - Polonnaruwa	7	4
DH - Wethara	2	4
Hospital	0	0
Hospital	0	0
Hospital	0	0
LRH	19	16
NH - Kandy	44	31
NH – Galle	32	22
NHSL	38	32
NIID	60	56
PGH - Badulla	9	12
TH - Anuradhapura	13	9
TH - Colombo South	44	38
TH - Kalutara	19	19
TH - Kuliyapitiya	6	5
TH - Kurunegala	14	10
TH - Peradeniya	24	25
TH - Ratnapura	21	21
TH – Colombo North	43	29
