Deaths reported in 2026 [Districts/Admin area]					
District/area	No*	District/area	No*	District/area	No*
Colombo RDHS	15	Gampaha	12	Matara	8
Ratnapura	6	Kalutara RDHS	6	Kandy	5
Kurunegala	3	Galle	3	Kegalle	3
Puttalam	3	Hambantota	2	Badulla	1
Batticaloa	1	Anuradhapura	1	NuwaraEliya	1
Polonnaruwa	1	CMC	1	Trincomalee	1
Matale	1				
