District/ RDHS	No. of cases					
	2025		2026		Up to Week 37	
					2025	2026
	Week  36	Week 37	Week  36	Week 37		
Colombo	99	144	222	207	9453	23161
Gampaha	70	95	224	218	5614	20741
Kalutara	28	35	71*	73	1667	7537
Kandy	85	56	158*	174	3332	7289
Matale	21	34	10	12	846	1010
Nuwara Eliya	3	5	18*	14	210	773
Galle	32	31	47	69	1754	5329
Hambantota	4	13	21	22	708	2575
Matara	17	14	41	38	1256	6207
Jaffna	20	6	19	22	840	1001
Kilinochchi	1	Nil	Nil	3	59	95
Mannar	2	4	Nil	Nil	125	95
Vavuniya	Nil	1	Nil	1	38	166
Mullaitivu	Nil	1	Nil	1	20	74
Batticaloa	10	12	21	13	1623	1557
Ampara	1	9	12*	10	121	692
Trincomalee	Nil	12	5	5	853	689
Kalmunai*	3	12	32*	31	362	1165
Kurunegala	14	13	29	38	1167	2760
Puttalam	7	9	37	33	539	2141
Anuradhapura	3	4	30	11	403	993
Polonnaruwa	5	1	8	12	280	768
Badulla	7	17	23	25	592	1542
Monaragala	4	11	11	11	674	1217
Ratnapura	71	66	55	44	4228	5159
Kegalle	14	12	58	69	1094	2901
Total*	521	606	1152*		1156  37858  97637	
