MOH Area	Cases reported		
	Week 36	Week 37	
Gampaha District			
Aththanagalla	23	12	
Biyagama	29	26	
Divulapitiya	13	10	
Ja-Ela	15	16	
Kelaniya	11	11	
Mahara	18	19	
Meerigama	10	14	
Minuwangoda	18	12	
Negombo	5	10	
Pugoda(Dompe)	37	38	
Ragama	6	16	
Wattala	7	10	
