Province	No of Cases	%
Western	50167	52.92%
Southern	13823	14.58%
Central	8624	9.10%
Sabaragamuwa	7789	8.22%
North Western	4733	4.99%
Eastern	3940	4.16%
Uva	2669	2.82%
North Central	1688	1.78%
Northern	1372	1.45%
