District/ Unit	No of Cases	%
NIHS	1248	1.32%
Monaragala	1184	1.25%
Kalmunai	1087	1.15%
Matale	983	1.04%
Jaffna	947	1.00%
Anuradhapura	941	0.99%
Polonnaruwa	747	0.79%
Nuwaraeliya	728	0.77%
Trincomalee	677	0.71%
Ampara	661	0.70%
Vavuniya	165	0.17%
Mannar	94	0.10%
Kilinochchi	91	0.10%
Mullaitivu	75	0.08%
