District/ Unit	No of Cases	%
Gampaha	20207	21.31%
Colombo	18794	19.82%
Kandy	6913	7.29%
Matara	6117	6.45%
Kalutara	6111	6.45%
Galle	5192	5.48%
Ratnapura	5038	5.31%
CMC	3807	4.02%
Kegalle	2751	2.90%
Kurunegala	2676	2.82%
Hambantota	2514	2.65%
Puttalam	2057	2.17%
Batticaloa	1515	1.60%
Badulla	1485	1.57%
