MOH Area	Cases reported	
	Week 27  Week 28	
Yatiyanthota	14	21
EASTERN PROVINCE		
Ampara District		
Ampara	8	13
Damana	10	10
Uhana	18	17
Batticaloa District		
Batticaloa	20	16
Eravur	5	14
Kalmunai RDHS		
Kalmunai North	7	11
NORTH CENTRAL PROVINCE		
Polonnaruwa District		
Hingurakoda	12	12
Medirigiriya	20	18
Thamankaduwa	6	17
NORTH WESTERN PROVINCE		
Kurunegala District		
Alawwa	10	11
Galgamuwa	21	16
Kurunegala	13	10
MC Kurunegala	11	13
Pannala	18	24
Polpithigama	14	21
Puttalam District		
Chilaw	16	16
Dankotuwa	14	19
Madampe	18	27
Nattandiya	25	25
Wennappuwa	45	64
UVA PROVINCE		
Badulla District		
Badulla	30	48
Hali Ela	10	15
Rideemaliyadda	13	12
Uva Paranagama	11	31
Welimada	13	22
Monaragala District		
Monaragala	11	16
Siyambalanduwa	10	27
wellawaya	7	10
NORTHERN PROVINCE		
Jaffna District		
Tellippalai	2	10
Vavuniy District		
Vavuniya	4	17
