Deaths reported in 2026 [Age & Sex]					
Age Group (Yrs)	Male	Female	Age Group (Yrs)	Male	Female
0-14	2	3	45 - 54	2	5
15-24	1	2	55 - 64	2	1
25-34	2	5	> 64	5	12
35-44	0	5	Total	14	33
