MOH Area	Cases reported		
	Week 27  Week 28		
Ingiriya	24	13	
Madurawala	17	22	
Mathugama	27	19	
Millaniya	18	19	
Panadura	189	178	
Wadduwa	62	46	
Walallawita	11	24	
NIHS			
Kalutara	57	67	
Payagala	56	41	
SOUTHERN PROVINCE			
Matara District			
Akuressa	34	29	
Athuraliya	29	22	
Devinuwara	35	17	
Dickwella	42	40	
Hakmana	9	14	
Kamburupitiya	27	17	
Malimbada	16	16	
Matara MC	170	108	
Matara PS	57	31	
			
Morawaka	28	22	
Mulatiyana	27	17	
Pasgoda	21	11	
Thihagoda	21	12	
Weligama	70	61	
Welipitiya	28	34	
Galle District			
Akmeemana	23	34	
Ambalangoda	17	10	
Baddegama	25	37	
Balapitiya	31	21	
Bope Poddala	33	34	
Elpitiya	32	21	
Habaraduwa	21	27	
			
Hikkaduwa	16	15	
Imaduwa	22	28	
Karandeniya	19	20	
MC-Galle	74	100	
Rathgama	15	15	
Thawalama	11	12	
Udugama	15	17	
Yakkalamulla	20	23	
Hambantota District			
Ambalantota	25	19	
Angunukolapelassa	21	12	
Beliatta	15	24	
Katuwana	22	22	
Tangalle	69	52	
Tissamaharama	9	10	
