District/ RDHS	No. of cases					
	2025		2026		Up to Week 28	
					2025	2026
	Week  27	Week 28	Week  27	Week 28		
Colombo	230	250	1668*	1628	7963	16606
Gampaha	153	164	1860*	1843	4646	14110
Kalutara	51	73	693*	617	1321	5399
Kandy	147	145	635*	665	2422	4454
Matale	14	11	80*	65	674	722
Nuwara Eliya	13	7	90*	61	137	429
Galle	53	57	410*	438	1388	3947
Hambantota	31	37	220	180	558	1934
Matara	36	21	627	462	1009	4884
Jaffna	15	25	55	49	695	756
Kilinochchi	1	Nil	2	11	49	68
Mannar	Nil	2	10	7	104	71
Vavuniya	Ni	Nil	10	23	28	117
Mullaitivu	2	Nil	Nil	5	16	39
Batticaloa	18	18	70	63	1549	1279
Ampara	5	8	55	56	102	471
Trincomalee	4	11	47	22	803	585
Kalmunai*	21	3	71	45	317	828
Kurunegala	56	53	243*	212	915	1833
Puttalam	13	8	156*	192	428	1340
Anuradhapura	6	16	87	70	323	601
Polonnaruwa	9	10	66	85	223	567
Badulla	17	20	130*	172	461	948
Monaragala	28	23	93*	97	575	869
Ratnapura	110	87	327*	380	3548	3962
Kegalle	53	41	186	185	896	1844
Total*		1059  1090  7891*			7633  31150  68663	
