MOH Area	Cases reported	
	Week 27  Week 28	
Walasmulla	21	13
CENTRAL PROVINCE		
Kandy District		
Bambaradeniya	17	23
Doluwa	22	24
Galagedara	14	15
Gampola	45	63
Gangawata Korale	46	38
Hasalaka	12	11
Hatharaliyadda	7	16
Kandy MC	103	103
Kundasale	22	16
Kurunduwaththa	30	33
Medadumbara	12	12
Menikhinna	34	25
Pasbage	26	29
Poojapitiya	11	18
Thalathuoya	16	18
Udunuwara	38	37
Waththegama	31	25
Werellagama	47	56
Yatinuwara	68	77
		
Matale District		
		
Ukuwela	14	10
		
Nuwara Eliya District		
		
Ambagamuwa	25	12
		
Nawathispane	8	11
Rikillagaskada	22	18
SABARAGAMUWA PROVINCE		
Ratnapura District		
Ayagama	6	16
Balangoda	13	11
Eheliyagoda	32	25
Elapatha	10	17
Embilipitiya	5	10
Imbulpe	10	15
		
Kalawana	18	29
Kiriella	23	23
Kolonna	7	13
Kuruvita	29	36
Nivithigala	13	29
Pelmadulla	38	28
Rathnapura MC	29	49
Ratnapura PS	26	40
Kegalle District		
Dehiovita	32	30
Mawanella	23	54
Rambukkana	14	12
Ruwanwella	12	14
Warakapola	29	24
