MOH Area	Cases reported	
	Week 27  Week 28	
WESTERN PROVINCE		
Colombo District		
Battaramulla	86	121
Boralesgamuwa	91	86
Dehiwala	27	42
Egodauyana	52	51
		
Gothatuwa	121	129
Hanwella	45	48
Homagama	112	86
Kaduwela	140	128
Kahathuduwa	66	36
Kesbewa	42	18
Kolonnawa	33	24
Maharagama	254	195
Moratuwa	67	73
Nugegoda	70	66
Padukka	33	36
Piliyandala	101	103
Pitakotte	39	46
Rathmalana	55	68
CMC		
D1-CMC	51	56
		
D2A-CMC	28	48
D2B-CMC	27	31
D3-CMC	50	81
		
D4-CMC	44	24
D5-CMC	21	25
Gampaha District		
Aththanagalla	59	67
Biyagama	304	320
Divulapitiya	38	27
Gampaha	98	104
Ja-Ela	179	169
Katana	77	82
Kelaniya	237	256
Mahara	173	200
Meerigama	39	35
Minuwangoda	100	91
Negombo	110	103
Pugoda(Dompe)	75	93
Ragama	78	56
Seeduwa	119	87
Wattala	175	153
Kalutara District		
Bandaragama	91	71
Bulathsinhala	12	14
Dodangoda PS	20	11
Horana	91	70
