Deaths reported in 2026 [Districts/Admin area]					
District/area	No*	District/area	No*	District/area	No*
Colombo	12	Gampaha	9	NIHS Kalutara	1
CMC	1	Galle	2	Kandy	4
Hambantota	2	Kalutara	3	Trincomalee	1
Ratnapura	3	Puttalam	1	Batticaloa	1
Matara	3	Anuradhapura	1	Kegalle	2
Polonnaruwa	1				
