district_id	district_name	n_cases
LK-11	Colombo	19311
LK-11-CMC	CMC	3918
LK-12	Gampaha	20786
LK-13	Kalutara	6256
LK-13-NIHS	NIHS	1291
LK-21	Kandy	7308
LK-22	Matale	1013
LK-23	Nuwaraeliya	773
LK-31	Galle	5331
LK-32	Matara	6214
LK-33	Hambantota	2581
LK-41	Jaffna	1001
LK-42	Mannar	95
LK-43	Vavuniya	166
LK-44	Mullaitivu	79
LK-45	Kilinochchi	94
LK-51	Batticaloa	1560
LK-52	Ampara	693
LK-52-Kalmunai	Kalmunai	1172
LK-53	Trincomalee	691
LK-61	Kurunegala	2763
LK-62	Puttalam	2144
LK-71	Anuradhapura	995
LK-72	Polonnaruwa	769
LK-81	Badulla	1548
LK-82	Monaragala	1215
LK-91	Ratnapura	5168
LK-92	Kegalle	2913
