District/Unit	No of Cases	%
NIHS	1301	1.32%
Monaragala	1219	1.24%
Kalmunai	1183	1.20%
Matale	1016	1.03%
Anuradhapura	1014	1.03%
Jaffna	1005	1.02%
Nuwaraeliya	784	0.80%
Polonnaruwa	774	0.79%
Trincomalee	693	0.71%
Ampara	700	0.71%
Vavuniya	166	0.17%
Mannar	95	0.10%
Kilinochchi	95	0.10%
Mullaitivu	79	0.08%
