District/ Unit	No of Cases	%
Gampaha	20856	21.23%
Colombo	19376	19.72%
Kandy	7365	7.50%
Kalutara	6280	6.39%
Matara	6219	6.33%
Galle	5353	5.45%
Ratnapura	5172	5.26%
CMC	3929	4.00%
Kegalle	2938	2.99%
Kurunegala	2772	2.82%
Hambantota	2584	2.63%
Puttalam	2153	2.19%
Batticaloa	1567	1.59%
Badulla	1561	1.59%
