Province	No of Cases	%		
Western	51742	52.66%		
Southern	14156	14.41%		
Central	9165	9.33%		
Sabaragamuwa	8110	8.25%		
North Western	4925	5.01%		
Eastern	4143	4.22%		
Uva	2780	2.83%		
North Central	1788	1.82%		
Northern	1440	1.47%		
				
High - risk MOH Areas [Week 36, 2026]			35	
