Province	No of Cases	%
Western	44359	53.02%
Southern	12586	15.04%
Central	7206	8.61%
Sabaragamuwa	6910	8.26%
North Western	4121	4.93%
Eastern	3519	4.21%
Uva	2301	2.75%
North Central	1453	1.74%
Northern	1206	1.44%
