District/ Unit	No of Cases	%
Gampaha	17779	21.25%
Colombo	16665	19.92%
Kandy	5753	6.88%
Matara	5703	6.82%
Kalutara	5442	6.50%
Galle	4615	5.52%
Ratnapura	4608	5.51%
CMC	3417	4.08%
Kurunegala	2350	2.81%
Kegalle	2302	2.75%
Hambantota	2268	2.71%
Puttalam	1771	2.12%
Batticaloa	1383	1.65%
Badulla	1248	1.49%
