District/ Unit	No of Cases	%
NIHS	1056	1.26%
Monaragala	1053	1.26%
Kalmunai	928	1.11%
Jaffna	846	1.01%
Matale	841	1.01%
Anuradhapura	778	0.93%
Polonnaruwa	675	0.81%
Trincomalee	622	0.74%
Nuwaraeliya	612	0.73%
Ampara	586	0.70%
Vavuniya	143	0.17%
Mannar	89	0.11%
Kilinochchi	79	0.09%
Mullaitivu	49	0.06%
