MOH Area	Cases reported	
	Week 18	Week 19
D4-CMC	16	10
Gampaha District		
Aththanagalla	16	14
Biyagama	66	67
Gampaha	16	14
Kelaniya	20	29
Mahara	24	29
Meerigama	6	17
Minuwangoda	24	23
Pugoda(Dompe)	24	27
Seeduwa	13	17
Wattala	14	17
Kalutara District		
Horana 23 21		
Ingiriya 25 28		
