Deaths reported in 2026 [Age & Sex]					
Age Group (Yrs)	Male	Female	Age Group (Yrs)	Male	Female
0-14	1	2	45 - 54	0	1
15-24	0	1	55 - 64	0	1
25-34	1	0	> 64	0	4
35-44	0	3	Total	2	12
