District/ RDHS	No. of cases					
	2025		2026		Up to Week 19	
					2025	2026
	Week  18	Week 19	Week  18	Week 19		
Colombo	335	354	370*	379	5274	7522
Gampaha	203	163	281	285	2875	4467
Kalutara	49	52	129*	129	791	1811
Kandy	64	93	80*	91	1176	1096
Matale	21	17	6	9	549	361
Nuwara Eliya	2	7	9	5	66	98
Galle	49	53	73*	69	881	1818
Hambantota	15	17	19*	46	347	835
Matara	19	16	90*	91	673	1928
Jaffna	8	14	20	19	457	513
Kilinochchi	1	1	1	1	32	36
Mannar	8	1	2	Nil	83	34
Vavuniya	2	Nil	2	4	20	50
Mullaitivu	Nil	Nil	2	Nil	7	21
Batticaloa	84	63	28	47	1209	819
Ampara	3	3	8	4	55	199
Trincomalee	63	38	12	35	602	356
Kalmunai*	18	13	34	36	237	534
Kurunegala	26	28	48*	56	425	742
Puttalam	12	14	24*	31	333	498
Anuradhapura	16	5	11	15	232	223
Polonnaruwa	7	6	14	12	126	203
Badulla	13	7	10*	14	269	344
Monaragala	18	13	25	27	353	386
Ratnapura	280	248	130*	159	2072	1812
Kegalle	36	43	51*	59	507	753
Total*		1352  1269  1479*  1623				19651  27459
