district_id	district_name	n_cases
LK-11	Colombo	19376
LK-11-CMC	CMC	3929
LK-12	Gampaha	20856
LK-13	Kalutara	6280
LK-13-NIHS	NIHS	1301
LK-21	Kandy	7365
LK-22	Matale	1016
LK-23	Nuwaraeliya	784
LK-31	Galle	5353
LK-32	Matara	6219
LK-33	Hambantota	2584
LK-41	Jaffna	1005
LK-42	Mannar	95
LK-43	Vavuniya	166
LK-44	Mullaitivu	79
LK-45	Kilinochchi	95
LK-51	Batticaloa	1567
LK-52	Ampara	700
LK-52-Kalmunai	Kalmunai	1183
LK-53	Trincomalee	693
LK-61	Kurunegala	2772
LK-62	Puttalam	2153
LK-71	Anuradhapura	1014
LK-72	Polonnaruwa	774
LK-81	Badulla	1561
LK-82	Monaragala	1219
LK-91	Ratnapura	5172
LK-92	Kegalle	2938
