District/ Unit	No of Cases	%
Monaragala	1072	1.27%
NIHS	1066	1.26%
Kalmunai	941	1.11%
Matale	876	1.03%
Jaffna	861	1.02%
Anuradhapura	797	0.94%
Polonnaruwa	687	0.81%
Trincomalee	637	0.75%
Nuwaraeliya	621	0.73%
Ampara	588	0.69%
Vavuniya	144	0.17%
Mannar	86	0.10%
Kilinochchi	79	0.09%
Mullaitivu	53	0.06%
