District/ Unit	No of Cases	%
Gampaha	17971	21.21%
Colombo	16814	19.85%
Kandy	5873	6.93%
Matara	5762	6.80%
Kalutara	5526	6.52%
Galle	4677	5.52%
Ratnapura	4643	5.48%
CMC	3452	4.07%
Kurunegala	2385	2.82%
Kegalle	2347	2.77%
Hambantota	2299	2.71%
Puttalam	1803	2.13%
Batticaloa	1393	1.64%
Badulla	1271	1.50%
