Province	No of Cases	%
Western	44829	52.91%
Southern	12738	15.03%
Central	7370	8.70%
Sabaragamuwa	6990	8.25%
North Western	4188	4.94%
Eastern	3559	4.20%
Uva	2343	2.77%
North Central	1484	1.75%
Northern	1223	1.44%
