district_id	district_name	n_cases
LK-11	Colombo	15000
LK-11-CMC	CMC	3032
LK-12	Gampaha	15762
LK-13	Kalutara	4978
LK-13-NIHS	NIHS	895
LK-21	Kandy	5015
LK-22	Matale	794
LK-23	Nuwaraeliya	516
LK-31	Galle	4228
LK-32	Matara	5280
LK-33	Hambantota	2102
LK-41	Jaffna	805
LK-42	Mannar	85
LK-43	Vavuniya	128
LK-44	Mullaitivu	47
LK-45	Kilinochchi	73
LK-51	Batticaloa	1315
LK-52	Ampara	538
LK-52-Kalmunai	Kalmunai	879
LK-53	Trincomalee	613
LK-61	Kurunegala	2069
LK-62	Puttalam	1531
LK-71	Anuradhapura	723
LK-72	Polonnaruwa	608
LK-81	Badulla	1056
LK-82	Monaragala	944
LK-91	Ratnapura	4267
LK-92	Kegalle	2038
