District/ Unit	No of Cases	%
Colombo	9983	21.00%
Gampaha	8809	18.53%
Matara	3446	7.25%
Kalutara	3177	6.68%
Ratnapura	3069	6.46%
Galle	2862	6.02%
Kandy	2701	5.68%
CMC	2219	4.67%
Hambantota	1382	2.91%
Kegalle	1292	2.72%
Kurunegala	1201	2.53%
Batticaloa	1105	2.32%
Puttalam	854	1.80%
Kalmunai	676	1.42%
