Province	No of Cases	%
Western	24670	51.90%
Southern	7690	16.18%
Sabaragamuwa	4361	9.18%
Central	3471	7.30%
Eastern	2576	5.42%
North Western	2055	4.32%
Uva	1154	2.43%
Northern	842	1.77%
North Central	711	1.50%
