District/ Unit	No of Cases	%
Jaffna	632	1.33%
Monaragala	591	1.24%
Badulla	563	1.18%
Matale	533	1.12%
Trincomalee	495	1.04%
NIHS	482	1.01%
Polonnaruwa	360	0.76%
Anuradhapura	351	0.74%
Ampara	300	0.63%
Nuwaraeliya	237	0.50%
Vavuniya	80	0.17%
Kilinochchi	50	0.11%
Mannar	47	0.10%
Mullaitivu	33	0.07%
